TestRun,brojTocnih,brojKrivih,Train(0)OrTest(1)
1,175,224,0
1,171,231,1
2,179,220,0
7,181,218,0
25,194,205,0
14,175,224,0
3,175,224,0
47,192,207,0
5,175,224,0
29,175,224,0
68,175,224,0
17,175,224,0
18,182,217,0
19,175,224,0
37,175,224,0
22,175,224,0
10,175,224,0
27,175,224,0
26,175,224,0
16,175,224,0
31,175,224,0
39,175,224,0
24,175,224,0
85,204,195,0
81,191,208,0
4,175,224,0
12,175,224,0
20,175,224,0
13,175,224,0
11,175,224,0
6,183,216,0
23,175,224,0
9,175,224,0
30,175,224,0
67,178,221,0
8,175,224,0
43,175,224,0
65,181,218,0
66,175,224,0
33,175,224,0
53,175,224,0
86,175,224,0
73,175,224,0
74,175,224,0
77,188,211,0
78,180,219,0
49,175,224,0
38,175,224,0
61,175,224,0
83,175,224,0
89,186,213,0
35,183,216,0
71,175,224,0
48,175,224,0
70,175,224,0
32,175,224,0
15,176,223,0
87,176,223,0
36,175,224,0
79,175,224,0
55,175,224,0
60,175,224,0
93,175,224,0
42,175,224,0
63,175,224,0
97,175,224,0
46,175,224,0
40,175,224,0
64,175,224,0
45,175,224,0
82,175,224,0
91,204,195,0
69,175,224,0
51,175,224,0
59,175,224,0
28,175,224,0
50,175,224,0
88,175,224,0
52,175,224,0
54,175,224,0
62,175,224,0
90,177,222,0
44,175,224,0
80,175,224,0
76,176,223,0
72,175,224,0
56,175,224,0
41,175,224,0
100,175,224,0
92,176,223,0
84,175,224,0
21,175,224,0
57,186,213,0
34,175,224,0
96,175,224,0
95,175,224,0
99,175,224,0
98,175,224,0
75,175,224,0
58,141,258,0
94,182,217,0
7,177,225,1
2,176,226,1
14,171,231,1
18,194,208,1
16,171,231,1
39,171,231,1
27,171,231,1
25,193,209,1
6,178,224,1
22,171,231,1
65,179,223,1
47,191,211,1
17,171,231,1
20,171,231,1
24,171,231,1
73,171,231,1
10,171,231,1
4,171,231,1
11,171,231,1
30,171,231,1
3,171,231,1
26,171,231,1
91,200,202,1
37,171,231,1
67,175,227,1
85,197,205,1
38,171,231,1
32,171,231,1
8,171,231,1
81,194,208,1
83,171,231,1
19,171,231,1
49,171,231,1
12,171,231,1
23,171,231,1
13,171,231,1
53,171,231,1
29,171,231,1
89,183,219,1
9,171,231,1
93,171,231,1
31,171,231,1
36,171,231,1
46,171,231,1
59,171,231,1
35,179,223,1
40,171,231,1
64,171,231,1
78,176,226,1
48,171,231,1
66,171,231,1
43,171,231,1
63,171,231,1
68,171,231,1
79,171,231,1
5,171,231,1
15,173,229,1
42,171,231,1
97,171,231,1
72,172,230,1
55,171,231,1
84,171,231,1
51,171,231,1
52,171,231,1
60,171,231,1
74,171,231,1
77,184,218,1
44,171,231,1
45,171,231,1
33,171,231,1
69,171,231,1
50,171,231,1
76,172,230,1
82,171,231,1
62,171,231,1
28,171,231,1
86,171,231,1
70,171,231,1
92,172,230,1
54,171,231,1
71,171,231,1
57,183,219,1
80,171,231,1
88,171,231,1
61,171,231,1
94,177,225,1
100,171,231,1
90,174,228,1
34,171,231,1
21,171,231,1
56,171,231,1
98,171,231,1
87,172,230,1
41,171,231,1
96,171,231,1
95,171,231,1
58,158,244,1
75,171,231,1
99,171,231,1
